,InchiKey,ClassyFire compound kingdom,SMILES,both same,SMILES with metal ions removed,Status,Dataset
14,AEPKFYPUICCNAG-VBXOIZFTSA-L,Organic compounds,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)Oc1c(oc2c(c1=O)c(cc(c2)OS(=O)(=O)[O-])OS(=O)(=O)[O-])c1ccc(c(c1)O)O.[Na+].[Na+],False,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)Oc1c(oc2c(c1=O)c(cc(c2)OS(=O)(=O)[O-])OS(=O)(=O)[O-])c1ccc(c(c1)O)O,0,CCRIS
15,AFLXUQUGROGEFA-UHFFFAOYSA-N,Organic compounds,ClCC[N+](CCCl)(C)[O-],True,ClCC[N+](CCCl)(C)[O-],1,CCRIS
16,AFSDNFLWKVMVRB-UHFFFAOYSA-N,Organic compounds,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,True,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,0,CPDB
17,AFZSMODLJJCVPP-UHFFFAOYSA-N,Organic compounds,c1ccc2c(c1)sc(n2)SSc1nc2c(s1)cccc2,True,c1ccc2c(c1)sc(n2)SSc1nc2c(s1)cccc2,0,CPDBAS
18,AGGQXACVVHIHNR-IOSLPCCCSA-N,Organic compounds,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N(N=O)C,True,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N(N=O)C,1,CPDBAS
19,AGRCPNMCOXLKFO-BDVNFPICSA-N,Organic compounds,CN(C(=O)N[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)C=O)N=O,True,CN(C(=O)N[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)C=O)N=O,1,CCRIS
20,AHJKRLASYNVKDZ-UHFFFAOYSA-N,Organic compounds,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,True,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,1,CPDBAS
21,AHWMWMNEYBHQNL-UHFFFAOYSA-N,Organic compounds,Nc1ccc(c(c1)N)N=Nc1cccc2c1cccc2,True,Nc1ccc(c(c1)N)N=Nc1cccc2c1cccc2,0,IARC
22,AIAMDEVDYXNNEU-UHFFFAOYSA-N,Organic compounds,CCC(=O)OCCCCCC(C)C,True,CCC(=O)OCCCCCC(C)C,0,CCRIS
23,AIFRHYZBTHREPW-UHFFFAOYSA-N,Organic compounds,c1ccc2c(c1)[nH]c1c2ccnc1,True,c1ccc2c(c1)[nH]c1c2ccnc1,0,CPDB
24,AIJULSRZWUXGPQ-UHFFFAOYSA-N,Organic compounds,O=CC(=O)C,True,O=CC(=O)C,0,CCRIS
25,AIXMKWLMVGVTGG-UHFFFAOYSA-N,Organic compounds,CC(=O)OCc1c2ccccc2c2c3c1ccc1c3c(cc2)ccc1,True,CC(=O)OCc1c2ccccc2c2c3c1ccc1c3c(cc2)ccc1,1,CCRIS
26,AJDIZQLSFPQPEY-UHFFFAOYSA-N,Organic compounds,FC(C(Cl)(F)F)(Cl)Cl,True,FC(C(Cl)(F)F)(Cl)Cl,0,CPDBAS
27,AJHUUBJNVIKBGO-UHFFFAOYSA-N,Organic compounds,ClCCN(C(=O)NCC(O)C)N=O,True,ClCCN(C(=O)NCC(O)C)N=O,1,CCRIS
28,AJOQSQHYDOFIOX-UHFFFAOYSA-N,Organic compounds,CCC(c1ccccc1)C(=O)NC(=O)N,True,CCC(c1ccccc1)C(=O)NC(=O)N,0,CPDB
29,AKRYBBWYDSDZHG-UHFFFAOYSA-N,Organic compounds,O=NN(CC(=O)C)CC(=O)C,True,O=NN(CC(=O)C)CC(=O)C,1,CCRIS
30,AKXUUJCMWZFYMV-UHFFFAOYSA-M,Organic compounds,OC[P+](CO)(CO)CO.[Cl-],False,OC[P+](CO)(CO)CO,0,CCRIS
31,AKZHPJMVGQRYGX-UHFFFAOYSA-N,Organic compounds,NNc1scc(n1)c1ccc(cc1)N,True,NNc1scc(n1)c1ccc(cc1)N,1,CPDBAS
32,ALBYIUDWACNRRB-UHFFFAOYSA-N,Organic compounds,CCCCCC(=O)N,True,CCCCCC(=O)N,1,CPDB
33,ALCSGJCIESECFD-UHFFFAOYSA-N,Organic compounds,NC(=O)CCCCn1ccc(n1)NC(=NCC(F)(F)F)N,True,NC(=O)CCCCn1ccc(n1)NC(=NCC(F)(F)F)N,1,CPDBAS
34,ALFHIHDQSYXSGP-UHFFFAOYSA-N,Organic compounds,Clc1ccc(c(c1)Cl)c1cccc(c1Cl)Cl,True,Clc1ccc(c(c1)Cl)c1cccc(c1Cl)Cl,1,CPDBAS
35,ALIXRWKJZYLBJI-UHFFFAOYSA-N,Organic compounds,CNCCc1ccc(c(c1)OC(=O)C(C)C)OC(=O)C(C)C.Cl,True,CNCCc1ccc(c(c1)OC(=O)C(C)C)OC(=O)C(C)C.Cl,0,CPDBAS
36,ALRLPDGCPYIVHP-LOIXRAQWSA-N,Organic compounds,[O-][N+](=O)c1c([2H])c([2H])c2c3c1c([2H])c([2H])c1c3c(c(c2[2H])[2H])c(c(c1[2H])[2H])[2H],True,[O-][N+](=O)c1c([2H])c([2H])c2c3c1c([2H])c([2H])c1c3c(c(c2[2H])[2H])c(c(c1[2H])[2H])[2H],1,CHEBI
37,ALRLPDGCPYIVHP-UHFFFAOYSA-N,Organic compounds,[O-][N+](=O)c1ccc2c3c1ccc1c3c(cc2)ccc1,True,[O-][N+](=O)c1ccc2c3c1ccc1c3c(cc2)ccc1,1,CPDBAS
38,ALYNCZNDIQEVRV-UHFFFAOYSA-N,Organic compounds,OC(=O)c1ccc(cc1)N,True,OC(=O)c1ccc(cc1)N,0,IARC
39,AMHNZOICSMBGDH-UHFFFAOYSA-L,Organic compounds,[S-]C(=S)NCCNC(=S)[S-].[Zn+2],False,[S-]C(=S)NCCNC(=S)[S-],0,CCRIS
40,AMIMRNSIRUDHCM-UHFFFAOYSA-N,Organic compounds,O=CC(C)C,True,O=CC(C)C,0,CCRIS
41,ANASRAPCLNYZFM-UHFFFAOYSA-N,Organic compounds,OCCN(CC=C)N=O,True,OCCN(CC=C)N=O,1,CPDBAS
42,ANUCHZVCBDOPOX-UHFFFAOYSA-N,Organic compounds,c1ccc2c(c1)ccc1c2cc2c(n1)ccc1c2cccc1,True,c1ccc2c(c1)ccc1c2cc2c(n1)ccc1c2cccc1,1,CCRIS
43,AOMZHDJXSYHPKS-UHFFFAOYSA-L,Organic compounds,[O-][N+](=O)c1ccc(cc1)N=Nc1c(N)c2c(cc1S(=O)(=O)[O-])cc(c(c2O)N=Nc1ccccc1)S(=O)(=O)[O-].[Na+].[Na+],False,[O-][N+](=O)c1ccc(cc1)N=Nc1c(N)c2c(cc1S(=O)(=O)[O-])cc(c(c2O)N=Nc1ccccc1)S(=O)(=O)[O-],0,CPDB
44,APNSGVMLAYLYCT-UHFFFAOYSA-N,Organic compounds,CC(CON=O)C,True,CC(CON=O)C,1,CCRIS
45,AQIXAKUUQRKLND-UHFFFAOYSA-N,Organic compounds,N#CNC(=NC)NCCSCc1nc[nH]c1C,True,N#CNC(=NC)NCCSCc1nc[nH]c1C,0,CCRIS
46,AQTQHPDCURKLKT-JKDPCDLQSA-N,Organic compounds,OS(=O)(=O)O.O=CN1c2cc(OC)c(cc2[C@]23[C@@H]1[C@@](O)(C(=O)OC)[C@H](OC(=O)C)[C@]1([C@@H]3N(CC2)CC=C1)CC)[C@]1(C[C@@H]2CN(CCc3c1[nH]c1c3cccc1)C[C@](C2)(O)CC)C(=O)OC,True,OS(=O)(=O)O.O=CN1c2cc(OC)c(cc2[C@]23[C@@H]1[C@@](O)(C(=O)OC)[C@H](OC(=O)C)[C@]1([C@@H]3N(CC2)CC=C1)CC)[C@]1(C[C@@H]2CN(CCc3c1[nH]c1c3cccc1)C[C@](C2)(O)CC)C(=O)OC,0,IARC
47,AQZZSWZMWUUVCI-UHFFFAOYSA-M,Organic compounds,[O-]S(=O)(=O)O.N#[N+]c1ccccc1,True,[O-]S(=O)(=O)O.N#[N+]c1ccccc1,1,CPDBAS
48,ARCZSDSOONGBRX-UHFFFAOYSA-N,Organic compounds,[O-][N+](=O)NC,True,[O-][N+](=O)NC,1,CPDBAS
49,ARFHIAQFJWUCFH-IZZDOVSWSA-N,Organic compounds,CC1CS(=O)(=O)CCN1/N=C/c1ccc(o1)[N+](=O)[O-],True,CC1CS(=O)(=O)CCN1/N=C/c1ccc(o1)[N+](=O)[O-],1,CCRIS
50,ARHWPKZXBHOEEE-UHFFFAOYSA-N,Organic compounds,C=CCOc1ccc(cc1Cl)CC(=O)O,True,C=CCOc1ccc(cc1Cl)CC(=O)O,0,CPDBAS
51,ARSRBNBHOADGJU-UHFFFAOYSA-N,Organic compounds,Cc1c2ccc3c(c2c(c2c1cccc2)C)cccc3,True,Cc1c2ccc3c(c2c(c2c1cccc2)C)cccc3,1,CCRIS
52,ARZWATDYIYAUTA-KHWBWMQUSA-N,Organic compounds,N[13c]1nc2c(n1C)ccc1c2cccn1,True,N[13c]1nc2c(n1C)ccc1c2cccn1,1,CHEBI
53,ARZWATDYIYAUTA-UHFFFAOYSA-N,Organic compounds,Nc1nc2c(n1C)ccc1c2cccn1,True,Nc1nc2c(n1C)ccc1c2cccn1,1,CPDBAS
54,ASLWPAWFJZFCKF-UHFFFAOYSA-N,Organic compounds,ClCC(OP(=O)(OC(CCl)CCl)OC(CCl)CCl)CCl,True,ClCC(OP(=O)(OC(CCl)CCl)OC(CCl)CCl)CCl,1,CCRIS
55,ASVDRLYVNFOSCI-UHFFFAOYSA-N,Organic compounds,Cc1cc2c(c3c1cccc3)ccc1c2cccc1,True,Cc1cc2c(c3c1cccc3)ccc1c2cccc1,0,IARC
56,ASWVTGNCAZCNNR-ZRLBSURWSA-N,Organic compounds,Cc1cc(C)nc(n1)N(S(=O)(=O)c1ccc(cc1)N([2H])[2H])[2H],True,Cc1cc(C)nc(n1)N(S(=O)(=O)c1ccc(cc1)N([2H])[2H])[2H],1,CHEBI
57,ATGUVEKSASEFFO-UHFFFAOYSA-N,Organic compounds,Nc1ccc(cc1)Nc1ccccc1,True,Nc1ccc(cc1)Nc1ccccc1,0,CCRIS
58,ATMNQRRJNBCQJO-UHFFFAOYSA-N,Organic compounds,CCCCCCOc1cc(C)c(c(c1C)C)O,True,CCCCCCOc1cc(C)c(c(c1C)C)O,0,CPDB
59,ATNOAWAQFYGAOY-UHFFFAOYSA-J,Organic compounds,Cc1cc(ccc1N=Nc1ccc2c(c1O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-])c1ccc(c(c1)C)N=Nc1ccc2c(c1O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],False,Cc1cc(ccc1N=Nc1ccc2c(c1O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-])c1ccc(c(c1)C)N=Nc1ccc2c(c1O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-],0,IARC
60,ATTZFSUZZUNHBP-UHFFFAOYSA-N,Organic compounds,CCCCCCCCS(=O)C(Cc1ccc2c(c1)OCO2)C,True,CCCCCCCCS(=O)C(Cc1ccc2c(c1)OCO2)C,1,CCRIS
61,AUGNBQPSMWGAJE-UHFFFAOYSA-N,Organic compounds,Clc1ccc(c(c1Cl)Cl)c1cccc(c1Cl)Cl,True,Clc1ccc(c(c1Cl)Cl)c1cccc(c1Cl)Cl,1,CPDBAS
62,AUJRCFUBUPVWSZ-UHFFFAOYSA-M,Organic compounds,CC(=O)OCC1OC([S-])C(C(C1OC(=O)C)OC(=O)C)OC(=O)C.CCP(CC)CC.[Au+],False,CC(=O)OCC1OC([S-])C(C(C1OC(=O)C)OC(=O)C)OC(=O)C.CCP(CC)CC,0,CPDB
63,AUZONCFQVSMFAP-UHFFFAOYSA-N,Organic compounds,CCN(C(=S)SSC(=S)N(CC)CC)CC,True,CCN(C(=S)SSC(=S)N(CC)CC)CC,0,CCRIS
64,AVESHLVLHJKUKQ-UHFFFAOYSA-N,Organic compounds,O=NN(CCc1ccccc1)C,True,O=NN(CCc1ccccc1)C,1,CPDBAS
65,AVKUERGKIZMTKX-NJBDSQKTSA-N,Organic compounds,N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,True,N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,0,IARC
66,AWMVMTVKBNGEAK-UHFFFAOYSA-N,Organic compounds,O1CC1c1ccccc1,True,O1CC1c1ccccc1,1,CPDBAS
67,AWYOMXWDGWUJHS-UHFFFAOYSA-N,Organic compounds,CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C,True,CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C,0,USEPA
68,AWZVYNHQGTZJIH-UHFFFAOYSA-N,Organic compounds,CN(N=O)C=C,True,CN(N=O)C=C,1,CCRIS
69,AXMCIYLNKNGNOT-UHFFFAOYSA-M,Organic compounds,CCN(c1ccc(cc1)C(=C1C=CC(=[N+](C)C)C=C1)c1ccc(cc1)N(Cc1cccc(c1)S(=O)(=O)[O-])CC)Cc1cccc(c1)S(=O)(=O)[O-].[Na+],False,CCN(c1ccc(cc1)C(=C1C=CC(=[N+](C)C)C=C1)c1ccc(cc1)N(Cc1cccc(c1)S(=O)(=O)[O-])CC)Cc1cccc(c1)S(=O)(=O)[O-],1,CPDBAS
70,AXMCIYLNKNGNOT-UHFFFAOYSA-N,Organic compounds,CCN(c1ccc(cc1)C(=C1C=CC(=[N+](C)C)C=C1)c1ccc(cc1)N(Cc1cccc(c1)S(=O)(=O)O)CC)Cc1cccc(c1)S(=O)(=O)[O-].[Na+],False,CCN(c1ccc(cc1)C(=C1C=CC(=[N+](C)C)C=C1)c1ccc(cc1)N(Cc1cccc(c1)S(=O)(=O)O)CC)Cc1cccc(c1)S(=O)(=O)[O-],1,CCRIS
71,AYLURHVFAYRSHT-UHFFFAOYSA-N,Organic compounds,Nc1ccc2c(n1)n1cccc(c1n2)C,True,Nc1ccc2c(n1)n1cccc(c1n2)C,1,CCRIS
72,AYVSFVWEOOHHAW-UHFFFAOYSA-N,Organic compounds,O=NN(C(=O)[NH2+]CC)CCN(C)C.[O-]N=O,True,O=NN(C(=O)[NH2+]CC)CCN(C)C.[O-]N=O,1,CPDBAS
73,AZGGQLXWUBGZEH-HNNXBMFYSA-N,Organic compounds,CC[C@H]1CCCCN1C(=O)C2=CC3=C(S2)N(N=C3C)C4=CC=CC=C4,True,CC[C@H]1CCCCN1C(=O)C2=CC3=C(S2)N(N=C3C)C4=CC=CC=C4,1,NPT
74,AZLXCBPKSXFMET-UHFFFAOYSA-M,Organic compounds,Oc1ccc(c2c1cccc2)N=Nc1ccc(cc1)S(=O)(=O)[O-].[Na+],False,Oc1ccc(c2c1cccc2)N=Nc1ccc(cc1)S(=O)(=O)[O-],0,IARC
75,AZSNMRSAGSSBNP-XPNPUAGNSA-N,Organic compounds,CO[C@H]1C[C@H](O[C@H]2[C@@H](C)/C=C/C=C/3\CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](C/C=C/2\C)O[C@]2(C3)CC[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,True,CO[C@H]1C[C@H](O[C@H]2[C@@H](C)/C=C/C=C/3\CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](C/C=C/2\C)O[C@]2(C3)CC[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,0,CPDB
76,BAFKRPOFIYPKBQ-UHFFFAOYSA-N,Organic compounds,Clc1cnc(c(c1)Cl)Oc1ccc(cc1)Oc1ncc(cc1Cl)Cl,True,Clc1cnc(c(c1)Cl)Oc1ccc(cc1)Oc1ncc(cc1Cl)Cl,1,CCRIS
77,BAOXJBYPTRZNSH-XBXARRHUSA-N,Organic compounds,NC(=O)N/N=C/c1ccco1,True,NC(=O)N/N=C/c1ccco1,0,CPDB
78,BAPJBEWLBFYGME-UHFFFAOYSA-N,Organic compounds,COC(=O)C=C,True,COC(=O)C=C,0,CCRIS
79,BAQAVOSOZGMPRM-QBMZZYIRSA-N,Organic compounds,ClC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CCl)O[C@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)Cl,True,ClC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CCl)O[C@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)Cl,0,CCRIS
80,BATOPAZDIZEVQF-MQQKCMAXSA-N,Organic compounds,C/C=C/C=C/C=O,True,C/C=C/C=C/C=O,1,CCRIS
81,BBABSCYTNHOKOG-UHFFFAOYSA-N,Organic compounds,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,True,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,1,CPDBAS
82,BBCLXYJRPRRZQW-UHFFFAOYSA-N,Organic compounds,Nc1c(ccc2c1cccc2)c1ccccc1,True,Nc1c(ccc2c1cccc2)c1ccccc1,1,NIOSH
83,BBDAGFIXKZCXAH-CCXZUQQUSA-N,Organic compounds,OC[C@H]1O[C@@H]2[C@H]([C@@H]1O)Oc1n2ccc(=N)n1,True,OC[C@H]1O[C@@H]2[C@H]([C@@H]1O)Oc1n2ccc(=N)n1,0,CPDBAS
84,BBDKZWKEPDTENS-UHFFFAOYSA-N,Organic compounds,C=CC1CCC=CC1,True,C=CC1CCC=CC1,1,CCRIS
85,BBEAQIROQSPTKN-UHFFFAOYSA-N,Organic compounds,c1cc2ccc3c4c2c(c1)ccc4ccc3,True,c1cc2ccc3c4c2c(c1)ccc4ccc3,0,CCRIS
86,BBFQZRXNYIEMAW-UHFFFAOYSA-N,Organic compounds,COc1cccc2c1cc([N+](=O)[O-])c1c2c2OCOc2cc1C(=O)O,True,COc1cccc2c1cc([N+](=O)[O-])c1c2c2OCOc2cc1C(=O)O,1,CCRIS
87,BBNQQADTFFCFGB-UHFFFAOYSA-N,Organic compounds,Oc1c(O)cc(c2c1C(=O)c1ccccc1C2=O)O,True,Oc1c(O)cc(c2c1C(=O)c1ccccc1C2=O)O,1,CCRIS
88,BCKXLBQYZLBQEK-KVVVOXFISA-M,Organic compounds,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],False,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],0,CCRIS
89,BDERNNFJNOPAEC-UHFFFAOYSA-N,Organic compounds,CCCO,True,CCCO,0,CCRIS
90,BDNKZNFMNDZQMI-UHFFFAOYSA-N,Organic compounds,CC(N=C=NC(C)C)C,True,CC(N=C=NC(C)C)C,0,CCRIS
91,BDQUGJCOXDENQA-ROUUACIJSA-N,Organic compounds,O[C@H]1C=Cc2c([C@@H]1O)ccc1c2cc(N)c2c1cccc2,True,O[C@H]1C=Cc2c([C@@H]1O)ccc1c2cc(N)c2c1cccc2,1,CCRIS
92,BEAZKUGSCHFXIQ-UHFFFAOYSA-L,Organic compounds,[O-]C(=O)C.[O-]C(=O)C.O.O.[Zn+2],False,[O-]C(=O)C.[O-]C(=O)C.O.O,0,CPDB
93,BELPJCDYWUCHKF-UHFFFAOYSA-N,Organic compounds,CC(=O)OCN=[N+](C)[O-],True,CC(=O)OCN=[N+](C)[O-],1,ISSCAN
94,BELPJCDYWUCHKF-WAYWQWQTSA-N,Organic compounds,CC(=O)OC/N=[N+](/C)\[O-],True,CC(=O)OC/N=[N+](/C)\[O-],1,CCRIS
95,BETVNUCOOCCCIO-UHFFFAOYSA-N,Organic compounds,COP(=S)(SCCNC(=O)C)OC,True,COP(=S)(SCCNC(=O)C)OC,0,CPDBAS
96,BEYOBVMPDRKTNR-UHFFFAOYSA-N,Organic compounds,Oc1ccc(cc1)N=Nc1ccccc1,True,Oc1ccc(cc1)N=Nc1ccccc1,0,IARC
97,BFCFYVKQTRLZHA-UHFFFAOYSA-N,Organic compounds,[O-][N+](=O)c1ccccc1Cl,True,[O-][N+](=O)c1ccccc1Cl,1,CCRIS
98,BFKJFAAPBSQJPD-UHFFFAOYSA-N,Organic compounds,FC(=C(F)F)F,True,FC(=C(F)F)F,1,CCRIS
99,BFPSDSIWYFKGBC-UHFFFAOYSA-N,Organic compounds,COc1ccc(cc1)C(=C(c1ccc(cc1)OC)Cl)c1ccc(cc1)OC,True,COc1ccc(cc1)C(=C(c1ccc(cc1)OC)Cl)c1ccc(cc1)OC,0,CPDBAS
100,BFPYWIDHMRZLRN-SLHNCBLASA-N,Organic compounds,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCc2c1ccc(c2)O,True,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCc2c1ccc(c2)O,1,CCRIS
101,BGCUVRJKBSXIDZ-UHFFFAOYSA-N,Organic compounds,O=Nc1cc2c(c3c1cccc3)ccc1c2cccc1,True,O=Nc1cc2c(c3c1cccc3)ccc1c2cccc1,1,CCRIS
102,BGNXCDMCOKJUMV-UHFFFAOYSA-N,Organic compounds,Oc1ccc(c(c1)C(C)(C)C)O,True,Oc1ccc(c(c1)C(C)(C)C)O,0,CCRIS
103,BGPPUXMKKQMWLV-UHFFFAOYSA-N,Organic compounds,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)[N+](=O)[O-],True,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)[N+](=O)[O-],0,CCRIS
104,BHAAPTBBJKJZER-UHFFFAOYSA-N,Organic compounds,COc1ccc(cc1)N,True,COc1ccc(cc1)N,0,IARC
105,BHMHNSQLZKUIMD-UHFFFAOYSA-N,Organic compounds,CN(C(=O)NC)N=O,True,CN(C(=O)NC)N=O,1,CCRIS
106,BHPSYESZOZTFCG-UHFFFAOYSA-N,Organic compounds,C=CCNNCC=C.Cl.Cl,True,C=CCNNCC=C.Cl.Cl,1,CPDBAS
107,BIKACRYIQSLICJ-UHFFFAOYSA-N,Organic compounds,CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)C(=O)OC)F,True,CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)C(=O)OC)F,0,USEPA
108,BIWJNBZANLAXMG-POTNBKISSA-N,Organic compounds,Cl[C@@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,True,Cl[C@@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,1,CPDBAS
109,BIWJNBZANLAXMG-UHFFFAOYSA-N,Organic compounds,ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,True,ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,1,CCRIS
